,imdb_id,imdb_rating,imdb_votes,title,year_of_release,genres
2500,tt0089382,5.7,231,Joshilaay,1989,Action|Drama|Western
2501,tt0097513,5.8,29,Hisaab Khoon Ka,1989,Drama|Mystery
2502,tt0359442,6,25,Hum Bhi Insaan Hain,1989,Action|Crime|Drama
2503,tt0097563,4.7,120,Ilaaka,1989,Action|Drama
2504,tt0097609,4,433,Jaadugar,1989,Comedy|Fantasy
2505,tt0363691,6.1,17,Hum Intezaar Karenge,1989,Drama|Romance
2506,tt0427400,4.3,12,Jaaydaad,1989,Crime|Drama
2507,tt0373935,5.6,185,Jaisi Karni Waisi Bharni,1989,Comedy|Drama
2508,tt0097642,5.4,116,Kanoon Apna Apna,1989,Action|Crime|Drama
2509,tt0246727,6.2,20,Khayal Gatha,1989,Drama
2510,tt0097640,5.5,172,Kala Bazaar,1989,Action|Drama
2511,tt0233990,5.7,58,Jung Baaz,1989,Action|Crime
2512,tt0366696,6.4,39,Ladaai,1989,Action|Crime|Drama
2513,tt0275466,6,34,Lashkar,1989,Action|Crime|Drama
2514,tt0319787,5.7,29,Mahaadev,1989,Action|Drama
2515,tt0097784,5.7,788,Love Love Love,1989,Drama|Romance
2516,tt0097812,7.3,648,Main Azaad Hoon,1989,Drama
2517,tt0097813,5.2,53,Main Tera Dushman,1989,Action|Adventure|Crime
2518,tt0187351,5.2,248,Nigahen: Nagina Part II,1989,Drama|Family|Fantasy
2519,tt0097926,5.6,118,Mujrim,1989,Action|Crime
2520,tt0154820,6.6,12,Main Tere Liye,1988,Drama|Romance
2521,tt0232276,5.7,6,Paraya Ghar,1989,Drama|Family
2522,tt0102705,5.9,191,Prem Pratigyaa,1989,Drama|Romance
2523,tt0260303,5.2,194,Purani Haveli,1989,Horror
2524,tt0260336,5,30,Sachai Ki Taqat,1989,Action|Drama
2525,tt0155131,5.7,35,Sachch?? K?? Bol-B??l??,1989,Action|Adventure
2526,tt0359965,5,27,Shehzaade,1989,Action
2527,tt0155175,5,23,Sikka,1989,Action|Drama
2528,tt0360051,6.7,37,Suryaa: An Awakening,1989,Action|Drama
2529,tt0098491,4.8,566,Toofan,1989,Action|Crime
2530,tt0102636,7.9,2791,Parinda,1989,Action|Crime|Drama
2531,tt0290820,7.6,1019,Raakh,1989,Action|Crime|Drama
2532,tt0374310,6,9,Conman,1989,Drama
2533,tt0100857,4.6,136,Vardi,1989,Action|Crime|Drama
2534,tt0173415,7.4,47,Vicky Dada,1989,Action|Crime
2535,tt0123370,6.8,27,Return of Robin Hood,1988,Drama
2536,tt0231073,4.9,25,Aage Ki Soch,1988,Comedy
2537,tt0177505,5.3,61,Aakhri Adaalat,1988,Action|Thriller
2538,tt0247915,5.2,22,Agnee,1988,Action|Drama|Romance
2539,tt0309261,5.7,18,Akarshan,1988,Romance
2540,tt0383875,7.3,60,Andhaa Yudh,1987,Drama|Thriller
2541,tt0363407,5.3,19,Aaj Ke Angaarey,1988,Action|Drama
2542,tt0388748,4.3,12,Aurat Teri Yehi Kahani,1988,Drama
2543,tt0154311,5.6,38,Charnon Ki Saugandh,1988,Action|Drama|Family
2544,tt0094720,5.1,130,Bees Saal Baad,1989,Horror|Mystery
2545,tt0168516,5.9,724,Biwi Ho To Aisi,1988,Comedy|Drama
2546,tt0254247,7.2,70,Daisy,1988,Drama
2547,tt0363525,4.3,137,Commando,1988,Action|Drama|Romance
2548,tt0377738,4.9,145,Dariya Dil,1988,Drama|Family
2549,tt0094958,6.6,491,Dayavan,1988,Action|Crime|Drama
2550,tt0095010,5.7,12,Dharamyudh,1988,Drama|Mystery|Thriller
2551,tt0359170,6.7,18,Do Waqt Ki Roti,1988,Action
2552,tt0448454,5.1,15,Ek Hi Maqsad,1988,Action|Drama|Thriller
2553,tt0249492,6.9,18,Ek Naya Rishta,1988,Family
2554,tt0363659,4.6,11,Halaal Ki Kamai,1988,Family
2555,tt0359309,5.2,20,Ganga Tere Desh Mein,1988,Action
2556,tt0095198,4.7,509,Gangaa Jamunaa Saraswathi,1988,Action|Drama|Romance
2557,tt0231646,5,163,Ghar Ghar Ki Kahani,1988,Comedy|Drama
2558,tt0315893,5.2,33,Ghar Mein Ram Gali Mein Shyam,1988,Action|Comedy|Drama
2559,tt0243294,6.2,9,Gunahon Ka Faisla,1988,Action
2560,tt0314049,6.3,10,Faisla,1988,Action|Crime|Mystery
2561,tt0363666,7,326,Hatya,1988,Action|Crime|Drama
2562,tt0366593,5.1,12,Hum Farishte Nahin,1988,Action|Thriller
2563,tt0095375,5.5,53,Inteqam,1988,Drama
2564,tt0361772,4.8,111,Jeete Hain Shaan Se,1988,Action|Drama
2565,tt0382771,3.8,8,Jungle Ki Beti,1988,Adventure
2566,tt0254462,5.9,7,Kab Tak Chup Rahungi,1988,Drama
2567,tt0440530,3.5,24,Kabrastan,1988,Horror
